"",Amount with Long,,,,
"",Term Guarantee,Impact of transitional,Impact of transitional,Impact of volatility,Impact of matching
"",measures and,on technical provisions,on interest rate,adjustment set to zero,adjustment set to zero
"",transitionals,,,,
Technical provisions,58 140 035,0,0,286 120,0
Basic own funds,26 043 743,0,0,-184 939,0
Eligible own funds to meet Solvency Capital Requirement,26 043 743,0,0,-184 939,0
Solvency Capital Requirement,12 883 886,0,0,533 439,0
Eligible own funds to meet Minimum Capital Requirement,26 043 743,0,0,-184 939,0
Minimum Capital Requirement,3 220 972,0,0,133 360,0
