Reconciliation reserve,
Excess of assets over liabilities,29 260 743
Own shares (held directly and indirectly),0
"Foreseeable dividends, distributions and charges",3 217 000
Other basic own fund items,4 000 000
Adjustment for restricted own fund items in respect of matching adjustment portfolios and ring fenced funds,0
Reconciliation reserve,22 043 743
Expected profits,
Expected profits included in future premiums (EPIFP) - Life business,9 065 463
Expected profits included in future premiums (EPIFP) - Non- life business,1 799 884
Total Expected profits included in future premiums (EPIFP),10 865 348
