"",,,,,,,,,,,,,,,,,,,,,,Total,
"",,,Workers' compensation,,Motor vehicle liability,,"Marine, aviation and transport",Fire and other damage to,,Credit and suretyship,,,,,,,,,,,,,
"",Medical expense insurance,Income protection insurance,,,,Other motor insurance,,,General liability insurance,,Legal expenses insurance,Assistance,,Miscellaneous financial loss,Health,,Casualty,,"Marine, aviation, transport",Property,,,
"",,,insurance,,insurance,,insurance,property insurance,,insurance,,,,,,,,,,,,,
Premiums written,,,,,,,,,,,,,,,,,,,,,,,
Gross - Direct Business,190 524,460 974,,0,5 264 304,5 190 172,346 051,6 915 826,2 172 093,26 039,0,,0,15,,,,,,,,,20 565 998
Gross - Proportional reinsurance accepted,0,209,,0,0,0,33 557,455 578,147 741,3 963,0,,0,0,,,,,,,,,641 048
Gross - Non-proportional reinsurance accepted,,,,,,,,,,,,,,,,3 327,,39 915,408,,101 345,,144 995
Reinsurers' share,76 908,184 389,,0,2 072 187,2 132 171,295 514,3 500 029,1 196 572,13 705,0,,0,0,,3 327,,39 915,408,,101 279,,9 616 403
Net,113 617,276 793,,0,3 192 117,3 058 001,84 094,3 871 375,1 123 262,16 296,0,,0,15,,0,,-0,0,,67,,11 735 637
Premiums earned,,,,,,,,,,,,,,,,,,,,,,,
Gross - Direct Business,191 275,463 828,,0,5 233 601,5 112 392,349 712,6 917 796,2 140 322,134 888,0,,0,15,,,,,,,,,20 543 828
Gross - Proportional reinsurance accepted,0,266,,0,0,0,33 837,457 227,148 223,4 167,0,,0,0,,,,,,,,,643 719
Gross - Non-proportional reinsurance accepted,,,,,,,,,,,,,,,,3 327,,39 915,408,,101 345,,144 995
Reinsurers' share,77 208,185 531,,0,2 059 906,2 101 059,298 432,3 484 292,1 215 211,14 022,0,,0,0,,3 327,,39 915,408,,101 279,,9 580 588
Net,114 067,278 562,,0,3 173 695,3 011 333,85 117,3 890 730,1 073 334,125 033,0,,0,15,,0,,-0,0,,67,,11 751 954
Claims incurred,,,,,,,,,,,,,,,,,,,,,,,
Gross - Direct Business,96 167,143 069,,0,2 892 919,3 652 101,234 086,3 133 067,889 830,-4 754,0,,0,6 364,,,,,,,,,11 042 849
Gross - Proportional reinsurance accepted,0,173,,0,0,-4 266,8 073,189 626,129 058,1 659,0,,0,0,,,,,,,,,324 322
Gross - Non-proportional reinsurance accepted,,,,,,,,,,,,,,,,5 157,,56 544,0,,-31 651,,30 049
Reinsurers' share,43 946,58 200,,0,1 030 449,1 336 701,206 108,1 435 301,554 833,2 496,0,,0,0,,5 157,,56 544,0,,-31 651,,4 698 085
Net,52 221,85 041,,0,1 862 470,2 311 134,36 052,1 887 392,464 054,-5 591,0,,0,6 364,,0,,-0,0,,-0,,6 699 136
Changes in other technical provisions,,,,,,,,,,,,,,,,,,,,,,,
Gross - Direct Business,0,0,,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,0
Gross - Proportional reinsurance accepted,0,0,,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,0
Gross - Non- proportional reinsurance accepted,,,,,,,,,,,,,,,,0,,0,0,,0,,0
Reinsurers'share,0,0,,0,0,0,0,0,0,0,0,,0,0,,0,,0,0,,0,,0
Net,0,0,,0,0,0,0,0,0,0,0,,0,0,,0,,0,0,,0,,0
Expenses incurred,128 516,33 565,,0,1 171 048,909 086,30 386,1 500 862,467 174,79 728,0,,0,462,,-16,,-197,0,,-467,,4 320 146
Other expenses,,,,,,,,,,,,,,,,,,,,,,,159 873
Total expenses,,,,,,,,,,,,,,,,,,,,,,,4 480 020
