"",,,,,,,Annuities stemming from non-,,,,,
"",,,,,,Annuities stemming from non-,,,,,Total,
"",,,,,,,life insurance contracts and,,,,,
"",,,Insurance with profit,Index-linked and unit-linked,,life insurance contracts and,,,,,,
"",Health insurance,,,,Other life insurance,,relating to insurance,Health reinsurance,,Life reinsurance,,
"",,,participation,insurance,,relating to health insurance,,,,,,
"",,,,,,,obligations other than health,,,,,
"",,,,,,obligations,,,,,,
"",,,,,,,insurance obligations,,,,,
Premiums written,,,,,,,,,,,,
Gross,,0,2 814 069,1 604 467,3 317 561,0,0,,0,10 750,,7 746 847
Reinsurers' share,,0,0,0,1 265 427,0,0,,0,10 774,,1 276 202
Net,,0,2 814 069,1 604 467,2 052 134,0,0,,0,-24,,6 470 646
Premiums earned,,,,,,,,,,,,
Gross,,0,2 814 069,1 604 467,3 317 561,0,0,,0,10 750,,7 746 847
Reinsurers' share,,0,0,0,1 265 427,0,0,,0,10 774,,1 276 202
Net,,0,2 814 069,1 604 467,2 052 134,0,0,,0,-24,,6 470 646
Claims incurred,,,,,,,,,,,,
Gross,,0,4 390 077,1 110 123,1 114 718,0,-91 814,,0,11 778,,6 534 883
Reinsurers' share,,0,0,0,388 785,0,-22 783,,0,11 778,,377 780
Net,,0,4 390 077,1 110 123,725 933,0,-69 030,,0,-0,,6 157 103
Changes in other technical provisions,,,,,,,,,,,,
Gross,,0,2 511 174,-1 528 257,-14 208,0,0,,0,24,,968 733
Reinsurers' share,,0,0,0,-16 829,0,0,,0,-0,,-16 829
Net,,0,2 511 174,-1 528 257,2 621,0,0,,0,24,,985 562
Expenses incurred,,0,628 023,74 434,471 227,0,0,,0,-585,,1 173 098
Other expenses,,,,,,,,,,,,92 631
Total expenses,,,,,,,,,,,,1 265 729
