"",Home Country,,,Top 5 countries (by amount of gross premiums written) - non-life obligations,,,,Total Top 5 and home country
"",,BG,,PL HU RS,,RU,,
Premiums written,,,,,,,,
Gross - Direct Business,20 565 998,,0,0 0,0,,0,20 565 998
Gross - Proportional reinsurance accepted,497 802,,128 383,12 933 8 537,476,,0,648 131
Gross - Non-proportional reinsurance accepted,67,,144 828,0 0,0,,101,144 995
Reinsurers' share,9 335 609,,273 211,0 7 483,0,,101,9 616 403
Net,11 728 258,,0,12 933 1 054,476,,0,11 742 721
Premiums earned,,,,,,,,
Gross - Direct Business,20 543 828,,0,0 0,0,,0,20 543 828
Gross - Proportional reinsurance accepted,500 186,,128 618,11 957 8 537,476,,0,649 774
Gross - Non-proportional reinsurance accepted,67,,144 828,0 0,0,,101,144 995
Reinsurers' share,9 299 416,,273 446,0 7 483,0,,101,9 580 446
Net,11 744 664,,0,11 957 1 054,476,,0,11 758 152
Claims incurred,,,,,,,,
Gross - Direct Business,11 042 849,,0,0 0,0,,0,11 042 849
Gross - Proportional reinsurance accepted,308 848,,63 086,-19 363 2 928,0,,-108,355 391
Gross - Non-proportional reinsurance accepted,0,,30 782,0 0,0,,-732,30 050
Reinsurers' share,4 633 191,,93 868,0 2 928,0,,-840,4 729 147
Net,6 718 506,,0,-19 363 -0,0,,-0,6 699 143
Changes in other technical provisions,,,,,,,,
Gross - Direct Business,0,,0,0 0,0,,0,0
Gross - Proportional reinsurance accepted,0,,0,0 0,0,,0,0
Gross - Non- proportional reinsurance accepted,0,,0,0 0,0,,0,0
Reinsurers'share,0,,0,0 0,0,,0,0
Net,0,,0,0 0,0,,0,0
Expenses incurred,4 318 964,,-1 357,3 880 480,24,,-3,4 321 988
Other expenses,,,,,,,,159 873
Total expenses,,,,,,,,4 481 861
