"",Home Country,,Top 5 countries (by amount of gross premiums written) - life obligations,,,Total Top 5 and home country
Premiums written,,,,,,
Gross,7 746 847,0,0 0,0,0,7 746 847
Reinsurers' share,1 276 202,0,0 0,0,0,1 276 202
Net,6 470 646,0,0 0,0,0,6 470 646
Premiums earned,,,,,,0
Gross,7 746 847,0,0 0,0,0,7 746 847
Reinsurers' share,1 276 202,0,0 0,0,0,1 276 202
Net,6 470 646,0,0 0,0,0,6 470 646
Claims incurred,,,,,,0
Gross,6 534 883,0,0 0,0,0,6 534 883
Reinsurers' share,377 780,0,0 0,0,0,377 780
Net,6 157 103,0,0 0,0,0,6 157 103
Changes in other technical provisions,,,,,,0
Gross,968 733,0,0 0,0,0,968 733
Reinsurers' share,-16 829,0,0 0,0,0,-16 829
Net,985 562,0,0 0,0,0,985 562
Expenses incurred,1 173 098,0,0 0,0,0,1 173 098
Other expenses,,,,,,92 631
Total expenses,,,,,,1 265 729
