"",,,,,Total Non-Life Workers' Non-proportional,
"",Medical expense,,Income protection,,"obligationscompensation Motor vehicle liability Other motor insurance Marine, aviation and Fire and other damage General liability Credit and suretyship Legal expenses Assistance Miscellaneous financial Non-proportional Non-proportional marine, aviation and",Non-proportional
"",insurance,,insurance,,insurance transport insurance to property insurance insurance insurance insurance loss health reinsurance casualty reinsurance,property reinsurance
"",,,,,insurance transport reinsurance,
Technical provisions calculated as a whole,0,,0,,0 0 0 0 0 0 0 0 0 0 0 0,0 0 0
Total Recoverables from reinsurance/SPV and Finite Re after the adjustment,,,,,,
for expected losses due to counterparty default associated to TP as a whole,0,,0,,0 0 0 0 0 0 0 0 0 0 0 0,0 0 0
Technical provisions calculated as a sum of BE and RM,,,,,,
Best estimate,,,,,,
Premium provisions,,,,,,
Gross,8 489,,13 858,,0 829 486 929 091 2 266 344 156 262 013 58 113 0 0 0 0 0,0 0 2 447 473
Total recoverable from reinsurance/SPV and Finite Re after the adjustment for,,,,,,
expected losses due to counterparty default,2 244,,5 629,,0 203 724 208 116 3 035 -185 791 -25 678 -7 690 0 0 0 0 0,0 0 203 589
Net Best Estimate of Premium Provisions,6 245,,8 229,,0 625 763 720 975 -769 529 946 287 691 65 803 0 0 0 0 0,0 0 2 243 884
Claims provisions,,,,,,
Gross,81 756,,1 800 005,,0 4 461 680 1 298 456 339 646 2 991 043 2 611 598 30 747 0 0 7 850 0 166 358,0 116 742 13 905 880
Total recoverable from reinsurance/SPV and Finite Re after the adjustment for,,,,,,
expected losses due to counterparty default,30 909,,580 340,,0 1 546 287 392 048 281 872 1 764 998 1 457 074 3 774 0 0 0 0 161 994,0 116 223 6 335 520
Net Best Estimate of Claims Provisions,50 847,,1 219 665,,0 2 915 392 906 407 57 774 1 226 045 1 154 524 26 973 0 0 7 850 0 4 364,0 519 7 570 360
Total Best estimate - gross,90 245,,1 813 863,,0 5 291 166 2 227 547 341 912 3 335 199 2 873 611 88 860 0 0 7 850 0 166 358,0 116 742 16 353 353
Total Best estimate - net,57 092,,1 227 894,,0 3 541 155 1 627 382 57 005 1 755 991 1 442 215 92 776 0 0 7 850 0 4 364,0 519 9 814 243
Risk margin,928,,25 257,,0 336 205 46 946 6 308 142 839 147 281 5 949 0 0 190 0 21 395,0 871 734 170
Amount of the transitional on Technical Provisions,,,,,,
Technical Provisions calculated as a whole,0,,0,,0 0 0 0 0 0 0 0 0 0 0 0,0 0 0
Best estimate,0,,0,,0 0 0 0 0 0 0 0 0 0 0 0,0 0 0
Risk margin,0,,0,,0 0 0 0 0 0 0 0 0 0 0 0,0 0 0
Technical provisions - total,,,,,,
Technical provisions - total,91 173,,1 839 120,,0 5 627 371 2 274 493 348 220 3 478 037 3 020 892 94 809 0 0 8 040 0 187 753,0 117 614 17 087 523
Recoverable from reinsurance contract/SPV and Finite Re after the adjustment,,,,,,
for expected losses due to counterparty default - total,33 152,,585 968,,0 1 750 011 600 165 284 907 1 579 208 1 431 397 -3 916 0 0 0 0 161 994,0 116 223 6 539 109
Technical provisions minus recoverables from reinsurance/SPV and Finite Re -,,,,,,
total,58 020,,1 253 152,,0 3 877 361 1 674 328 63 314 1 898 830 1 589 496 98 725 0 0 8 040 0 25 758,0 1 390 10 548 413
