"",,,,,,,,,,,,In Current year
"",,(cumulative)0 1,2,3,4,5,6,7,8,9,10 & +,
Prior,,,,,,,,,,,41 475,41 475
N-9,,10 458 285 4 435 794,704 758,372 030,155 089,,32 743,55 786,28 002,14 857,8 427,8 427 16 265 769
N-8,,7 970 713 2 892 937,644 636,245 106,143 573,,94 910,-1 007,35 790,27 907,,27 907 12 054 565
N-7,,8 069 615 3 162 243,662 292,278 304,116 991,,46 108,27 367,15 842,,,15 842 12 378 762
N-6,,9 053 606 3 412 051,856 059,314 420,,98 375,47 755,30 188,,,,30 188 13 812 454
N-5,,7 262 646 3 271 802,894 217,321 285,112 456,,42 700,,,,,42 700 11 905 107
N-4,,6 948 787 3 147 119,754 090,414 475,219 201,,,,,,,219 201 11 483 672
N-3,,7 688 475 3 291 810,738 240,408 500,,,,,,,,408 500 12 127 026
N-2,,7 929 920 3 590 110,949 011,,,,,,,,,949 011 12 469 041
N-1,,8 228 043 3 661 099,,,,,,,,,,3 661 099 11 889 142
"",N,9 241 687,,,,,,,,,,9 241 687 9 241 687
Total,,,,,,,,,,,,14 646 038 123 627 225
