"",,,,,,,,,,,,Development year,,,,,,,,,Year end
"",,,,,,,,,,,,,,,,,,,,,(discounted
"",,0,,1,,2,,3,,4,,5,6,,7,,8,,9,10 & +,data)
Prior,,,,,,,,,,,,,,,,,,,,420 364,377 027
N-9,,0,,0,,0,,0,,0,,0,0,,0,,0,,162 994,,146 406
N-8,,0,,0,,0,,0,,0,,0,0,,0,,164 871,,,,147 961
N-7,,0,,0,,0,,0,,0,,0,0,,144 318,,,,,,129 259
N-6,,0,,0,,0,,0,,0,,0,198 013,,,,,,,,178 342
N-5,,0,,0,,0,,0,,0,,322 650,,,,,,,,,288 757
N-4,,0,,0,,0,,0,,457 880,,,,,,,,,,,413 781
N-3,,0,,0,,0,,702 378,,,,,,,,,,,,,641 280
N-2,,0,,0,,1 487 727,,,,,,,,,,,,,,,1 386 980
N-1,,0,,2 088 937,,,,,,,,,,,,,,,,,1 927 008
"",N,5 867 492,,,,,,,,,,,,,,,,,,,5 472 955
Total,,,,,,,,,,,,,,,,,,,,,11 109 755
