"",C0010
R0510,18 296 851
R0520,15 931 284
R0530,0
R0540,14 972 657
R0550,958 627
R0560,2 365 567
R0570,0
R0580,2 078 025
R0590,287 542
R0600,29 341 397
R0610,-5 228 525
R0620,0
R0630,-6 116 492
R0640,887 967
R0650,34 569 922
R0660,0
R0670,32 487 881
R0680,2 082 042
R0690,553 770
R0700,0
R0710,517 388
R0720,36 383
R0740,0
R0750,217 625
R0760,0
R0770,4 551 545
R0780,2 239 308
R0790,387
R0800,1 192
R0810,2 700 079
R0820,5 416 170
R0830,943 547
R0840,1 137 947
R0850,559 005
R0860,0
R0870,559 005
R0880,85 537
R0900,66 044 360
R1000,40 434 845
