"",C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100,C0110
R0100,,,,,,,,,,,77 612 796
R0160,5 421 119,1 728 464,256 884,109 558,43 663,47 360,30 257,51 031,14 256,19 639,
R0170,5 380 409,1 645 421,253 710,137 293,66 099,27 024,22 401,41 055,2 241,,
R0180,7 045 608,2 024 224,519 192,95 896,122 518,40 191,21 814,31 070,,,
R0190,5 165 590,1 943 292,389 199,121 789,70 153,80 223,30 553,,,,
R0200,5 434 503,2 036 216,399 113,186 743,160 216,76 822,,,,,
R0210,6 085 520,2 528 082,453 786,339 183,163 486,,,,,,
R0220,6 812 502,2 552 754,819 185,420 929,,,,,,,
R0230,5 999 441,3 071 733,931 232,,,,,,,,
R0240,7 392 977,3 281 096,,,,,,,,,
R0250,6 442 470,,,,,,,,,,
