"",C0200,C0210,,C0220,,C0230,,C0240,C0250,C0260,C0270,C0280,C0290,C0300
R0100,,,,,,,,,,,,,,2 205 708
R0160,0,0,,0,,0,,684 482,473 657,344 925,263 090,221 034,212 469,
R0170,0,0,,0,,830 394,,394 517,291 651,254 928,163 673,167 972,,
R0180,0,0,,1 255 022,,736 692,,446 591,320 308,253 260,227 930,,,
R0190,0,2 225 446,,1 217 695,,831 936,,688 581,428 772,420 835,,,,
R0200,4 008 420,1 909 566,,1 293 749,,1 137 417,,766 675,668 088,,,,,
R0210,4 145 613,1 520 529,,919 541,,702 847,,565 576,,,,,,
R0220,4 226 552,1 467 771,,1 148 239,,687 539,,,,,,,,
R0230,3 860 679,2 232 909,,1 175 705,,,,,,,,,,
R0240,6 507 851,2 246 381,,,,,,,,,,,,
R0250,5 803 454,,,,,,,,,,,,,
