"",C0010,C0020,C0030,,C0040,,C0050,
R0010,2 151 129,2 151 129,,,,0,,
R0030,85 959,85 959,,,,0,,
R0040,0,0,,,,0,,
R0050,0,,0,,,0,,0
R0070,0,0,,,,,,
R0090,2 151 000,,2 151 000,,,0,,0
R0110,48 081,,48 081,,,0,,0
R0130,33 366 410,33 366 410,,,,,,
R0140,559 005,,559 005,,,0,,0
R0160,0,,,,,,,0
R0180,0,0,0,,,0,,0
R0220,0,,,,,,,
R0230,0,0,0,,,0,,
R0290,38 361 583,35 603 497,2 758 086,,,0,,0
R0300,0,,,,,0,,
R0310,0,,,,,0,,
R0320,0,,,,,0,,0
R0330,0,,,,,0,,0
R0340,0,,,,,0,,
R0350,0,,,,,0,,0
R0360,0,,,,,0,,
R0370,0,,,,,0,,0
R0390,0,,,,,0,,0
R0400,0,,,,,0,,0
