"",C0100,C0110,C0120,C0130,C0140,C0150,C0160,C0200
R0110,42 021,329 364,335 013,,,,,32 850 905
R0120,0,0,19 905,,,,,435 727
R0130,,,,,,,,
R0140,0,0,251 032,,,,,8 238 126
R0200,42 021,329 364,103 886,,,,,25 048 506
R0210,42 078,322 628,332 660,,,,,32 748 456
R0220,0,0,19 820,,,,,435 149
R0230,,,,,,,,
R0240,0,0,250 954,,,,,8 273 519
R0300,42 078,322 628,101 526,,,,,24 910 086
R0310,3 375,310 041,925 097,,,,,17 143 373
R0320,0,0,31 951,,,,,100 010
R0330,,,,,,,,
R0340,0,2 585,386 719,,,,,3 995 469
R0400,3 375,307 456,570 328,,,,,13 247 915
R0410,0,0,0,,,,,-112 989
R0420,0,0,0,,,,,0
R0430,,,,,,,,
R0440,0,0,0,,,,,0
R0500,0,0,0,,,,,-112 989
R0550,11 971,342 713,37 206,,,,,6 144 375
R1200,,,,,,,,3 744 537
R1300,,,,,,,,9 888 912
