"",C0210,C0220,C0230,C0240,C0250,C0260,C0270,,C0280,,C0300
R1410,1 572 516,6 667 122,66 371,804 071,,,,0,,0,9 110 080
R1420,63 961,38 047,70,69 203,,,,,,,171 281
R1500,1 508 555,6 629 075,66 301,734 868,,,,0,,0,8 938 798
R1510,1 571 406,6 678 128,66 371,804 216,,,,,,,9 120 122
R1520,63 961,38 050,70,69 542,,,,,,,171 623
R1600,1 507 446,6 640 078,66 301,734 675,,,,,,,8 948 499
R1610,589 954,5 883 720,74 506,209 082,,,,,,,6 757 262
R1620,44 617,9 461,0,25 421,,,,,,,79 499
R1700,545 337,5 874 259,74 506,183 661,,,,,,,6 677 763
R1710,-6 472,18 089,-24 798,-222 523,,,,,,,-235 704
R1720,0,0,0,0,,,,,,,0
R1800,-6 472,18 089,-24 798,-222 523,,,,,,,-235 704
R1900,355 476,1 690 344,12 821,492 488,,,,,,,2 551 127
R2500,,,,,,,,,,,78 792
R2600,,,,,,,,,,,2 629 919
