"",C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100
R0010,,,,,,,,,
R0050,,,,,,,,,
R0060,7 938,-1 240 607,0,1 075 800,972 269,-1 478,1 130 628,426 663,142
R0140,-169,-65 054,0,477 509,12 607,-1 481,312 335,25 183,
R0150,8 106,-1 175 553,0,598 291,959 663,3,818 293,401 480,142
R0160,259,3 310 436,0,5 242 990,362 951,10 258,2 631 831,2 475 409,475
R0240,1,1 705 258,0,2 669 729,5 947,-1 231,1 384 074,861 021,0
R0250,258,1 605 178,0,2 573 261,357 004,11 489,1 247 757,1 614 388,475
R0260,8 197,2 069 829,0,6 318 789,1 335 220,8 780,3 762 459,2 902 072,617
R0270,8 365,429 625,0,3 171 551,1 316 666,11 492,2 066 050,2 015 868,617
R0280,46,287 495,0,362 069,64 467,2 059,223 765,288 975,85
R0290,,,,,,,,,
R0300,,,,,,,,,
R0310,,,,,,,,,
