"",C0110,C0120,C0130,C0140,C0150,,C0160,C0170,,C0180
R0010,,,,,,,,,,
R0050,,,,,,,,,,
R0060,-99,82 096,66 977,0,,0,0,,0,2 520 329
R0140,0,0,41 225,0,,0,0,,0,802 155
R0150,-99,82 096,25 752,0,,0,0,,0,1 718 174
R0160,1 019,52 063,442 664,,,,,,,14 530 354
R0240,0,-1 123,400 845,0,,0,0,,0,7 024 521
R0250,1 019,53 186,41 819,0,,0,0,,0,7 505 833
R0260,920,134 159,509 640,0,,0,0,,0,17 050 682
R0270,920,135 282,67 570,0,,0,0,,0,9 224 007
R0280,183,9 531,7 493,0,,0,0,,0,1 246 169
R0290,,,,,,,,,,
R0300,,,,,,,,,,
R0310,,,,,,,,,,
